192.168.0.24 [19/Sep/2024:02:45:03 +0200] PUBLISH "live" "stream1" "" - 28710290 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (1m 32s)
192.168.0.24 - - [19/Sep/2024:02:46:45 +0200] "GET /hls/stream.m3u8 HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:46:45 +0200] "GET /favicon.ico HTTP/1.1" 404 169 "http://192.168.0.24:8080/hls/stream.m3u8" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:46:50 +0200] "GET / HTTP/1.1" 200 5859 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:46:50 +0200] "GET /history/history.css HTTP/1.1" 404 169 "http://192.168.0.24:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:46:50 +0200] "GET /history/history.js HTTP/1.1" 404 169 "http://192.168.0.24:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:46:50 +0200] "GET /swfobject.js HTTP/1.1" 200 10220 "http://192.168.0.24:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:46:59 +0200] "GET /vod.html HTTP/1.1" 200 3162 "http://192.168.0.24:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:46:59 +0200] "GET /ParsedQueryString.js HTTP/1.1" 200 3066 "http://192.168.0.24:8080/vod.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:47:02 +0200] "GET /vod.html?src=rtmp%3A%2F%2F192.168.0.10%2Flive%2Fdemo HTTP/1.1" 200 3162 "http://192.168.0.24:8080/vod.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:33 +0200] "GET /hls/stream.m3u8 HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:34 +0200] "GET /favicon.ico HTTP/1.1" 404 169 "http://192.168.0.24:8080/hls/stream.m3u8" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:43 +0200] "GET /hls/stream1 HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:48 +0200] "GET /hls/Stream1 HTTP/1.1" 404 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:51 +0200] "GET /hls HTTP/1.1" 301 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:51 +0200] "GET /hls/ HTTP/1.1" 403 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:54 +0200] "GET /history/history.css HTTP/1.1" 404 169 "http://192.168.0.24:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:54 +0200] "GET /history/history.js HTTP/1.1" 404 169 "http://192.168.0.24:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:50:58 +0200] "GET /vod.html HTTP/1.1" 200 3162 "http://192.168.0.24:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:51:07 +0200] "GET /index.html HTTP/1.1" 200 5859 "http://192.168.0.24:8080/vod.html?src=rtmp%3A%2F%2F192.168.0.10%2Flive%2Fdemo" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:51:07 +0200] "GET /history/history.js HTTP/1.1" 404 169 "http://192.168.0.24:8080/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:51:07 +0200] "GET /history/history.css HTTP/1.1" 404 169 "http://192.168.0.24:8080/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:51:07 +0200] "GET /favicon.ico HTTP/1.1" 404 169 "http://192.168.0.24:8080/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0"
192.168.0.24 - - [19/Sep/2024:02:51:50 +0200] "GET /hls/stream.m3u8 HTTP/1.1" 404 571 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
192.168.0.24 - - [19/Sep/2024:02:51:50 +0200] "GET /favicon.ico HTTP/1.1" 404 571 "http://192.168.0.24:8080/hls/stream.m3u8" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
192.168.0.226 - - [19/Sep/2024:02:53:26 +0200] "GET /hls/streams.m3u8 HTTP/1.1" 404 169 "-" "VLC/3.0.18 LibVLC/3.0.18"
192.168.0.226 - - [19/Sep/2024:02:53:26 +0200] "GET /hls/streams.m3u8 HTTP/1.0" 404 169 "-" "VLC/3.0.18 LibVLC/3.0.18"
192.168.0.226 - - [19/Sep/2024:02:54:29 +0200] "\x16\x03\x01\x01w\x01\x00\x01s\x03\x03H\x9B\xEA" 400 173 "-" "-"
192.168.0.226 - - [19/Sep/2024:02:56:18 +0200] "\x16\x03\x01\x01w\x01\x00\x01s\x03\x03\xB7\x9A\xC2\xBAp\xD8\xDC\x15q\xE13%@*\x22\xB4\xF6\xB7\x02\x88;\x8C\xED\xAC,\x91\xA3\x92\x8E\x9F\xBD\xE8\x00\x00:\x13\x02\x13\x03\x13\x01\x13\x04\xC0,\xCC\xA9\xC0\xAD\xC0" 400 173 "-" "-"
192.168.0.226 [19/Sep/2024:03:04:17 +0200] PLAY "live" "stream1" "" - 460 6059695 "" "LNX 9,0,124,2" (1m 4s)
192.168.0.24 [19/Sep/2024:03:04:17 +0200] PUBLISH "live" "stream1" "" - 124764655 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (6m 34s)
192.168.0.226 [19/Sep/2024:03:05:12 +0200] PLAY "live" "stream1" "" - 377 1480 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:13 +0200] PLAY "live" "stream1" "" - 377 1272 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:13 +0200] PLAY "live" "stream1" "" - 377 853 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:18 +0200] PLAY "live" "stream1" "" - 377 129725 "" "LNX 9,0,124,2" (4s)
192.168.0.226 [19/Sep/2024:03:05:19 +0200] PLAY "live" "stream1" "" - 377 968 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:19 +0200] PLAY "live" "stream1" "" - 377 1304 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:20 +0200] NONE "live" "" "" - 261 292 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:20 +0200] NONE "live" "" "" - 261 292 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:21 +0200] PLAY "live" "stream1" "" - 377 1671 "" "LNX 9,0,124,2" (1s)
192.168.0.226 [19/Sep/2024:03:05:22 +0200] PLAY "live" "stream1" "" - 377 1432 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:22 +0200] PLAY "live" "stream1" "" - 377 454 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:22 +0200] PLAY "live" "stream1" "" - 377 1000 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:23 +0200] NONE "live" "" "" - 261 292 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:05:23 +0200] PLAY "live" "stream1" "" - 377 904 "" "LNX 9,0,124,2" (0s)
192.168.0.24 [19/Sep/2024:03:13:43 +0200] PUBLISH "live" "stream1" "" - 14343684 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (1m 19s)
192.168.0.226 [19/Sep/2024:03:14:18 +0200] PLAY "live" "stream1" "" - 437 16216885 "" "LNX 9,0,124,2" (1m 59s)
192.168.0.226 [19/Sep/2024:03:14:20 +0200] PLAY "live" "stream1" "" - 377 1064 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:26 +0200] PLAY "live" "stream1" "" - 377 5719 "" "LNX 9,0,124,2" (6s)
192.168.0.226 [19/Sep/2024:03:14:27 +0200] PLAY "live" "stream1" "" - 377 1272 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:27 +0200] PLAY "live" "stream1" "" - 377 920 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:28 +0200] PLAY "live" "stream1" "" - 377 115562 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:28 +0200] NONE "live" "" "" - 261 292 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:28 +0200] PLAY "live" "stream1" "" - 377 1112 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:29 +0200] PLAY "live" "stream1" "" - 377 454 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:29 +0200] NONE "live" "" "" - 212 251 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:30 +0200] PLAY "live" "stream1" "" - 377 1032 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:34 +0200] PLAY "live" "stream1" "" - 377 3959 "" "LNX 9,0,124,2" (4s)
192.168.0.226 [19/Sep/2024:03:14:35 +0200] PLAY "live" "stream1" "" - 377 968 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:35 +0200] PLAY "live" "stream1" "" - 377 952 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:35 +0200] PLAY "live" "stream1" "" - 377 984 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:35 +0200] NONE "live" "" "" - 261 292 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:37 +0200] PLAY "live" "stream1" "" - 377 235816 "" "LNX 9,0,124,2" (1s)
192.168.0.226 [19/Sep/2024:03:14:37 +0200] PLAY "live" "stream1" "" - 377 984 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:57 +0200] PLAY "live" "stream1" "" - 418 796161 "" "LNX 9,0,124,2" (19s)
192.168.0.226 [19/Sep/2024:03:14:57 +0200] PLAY "live" "stream1" "" - 377 1000 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:14:58 +0200] PLAY "live" "stream1" "" - 377 1144 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:01 +0200] PLAY "live" "stream1" "" - 377 3047 "" "LNX 9,0,124,2" (3s)
192.168.0.226 [19/Sep/2024:03:15:01 +0200] PLAY "live" "stream1" "" - 377 904 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:02 +0200] PLAY "live" "stream1" "" - 377 1032 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:02 +0200] PLAY "live" "stream1" "" - 377 454 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:02 +0200] PLAY "live" "stream1" "" - 377 920 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:02 +0200] PLAY "live" "stream1" "" - 377 853 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:03 +0200] PLAY "live" "stream1" "" - 377 920 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:10 +0200] PLAY "live" "stream1" "" - 377 108741 "" "LNX 9,0,124,2" (7s)
192.168.0.226 [19/Sep/2024:03:15:11 +0200] PLAY "live" "stream1" "" - 377 2103 "" "LNX 9,0,124,2" (1s)
192.168.0.226 [19/Sep/2024:03:15:12 +0200] PLAY "live" "stream1" "" - 377 952 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:12 +0200] PLAY "live" "stream1" "" - 377 920 "" "LNX 9,0,124,2" (0s)
192.168.0.226 [19/Sep/2024:03:15:35 +0200] PLAY "live" "stream1" "" - 389 4095898 "" "LNX 9,0,124,2" (22s)
192.168.0.226 [19/Sep/2024:03:15:37 +0200] PLAY "live" "stream1" "" - 377 2376 "" "LNX 9,0,124,2" (2s)
192.168.0.226 [19/Sep/2024:03:15:37 +0200] PLAY "live" "stream1" "" - 377 984 "" "LNX 9,0,124,2" (0s)
